"Nominal OD (D)","Actual OD (T)","Neck ID (I)","Neck Height (H)","S","Pitch (P)","Neck OD (E)","a","b","c"
18,17.68,8.26,9.42,0.94,3.18,15.54,2.13,1.07,0.91
20,19.69,10.26,9.42,0.94,3.18,17.55,2.13,1.07,0.91
22,21.69,12.27,9.42,0.94,3.18,19.56,2.13,1.07,0.91
24,23.67,13.11,10.16,1.17,3.18,21.54,2.13,1.07,0.91
28,27.38,15.60,10.16,1.17,4.24,24.99,2.39,1.19,1.02
30,28.37,16.59,10.24,1.17,4.24,25.98,2.39,1.19,1.02
33,31.83,20.09,10.24,1.17,4.24,29.44,2.39,1.19,1.02
35,34.34,22.23,10.24,1.17,4.24,31.95,2.39,1.19,1.02
38,37.19,25.07,10.24,1.17,4.24,34.8,2.39,1.19,1.02
40,39.75,27.71,10.24,1.17,4.24,37.36,2.39,1.19,1.02
43,41.63,29.59,10.24,1.17,4.24,39.24,2.39,1.19,1.02
45,43.82,31.78,10.24,1.17,4.24,41.43,2.39,1.19,1.02
48,47.12,35.08,10.24,1.17,4.24,44.73,2.39,1.19,1.02
51,49.56,37.57,10.36,1.17,4.24,47.17,2.39,1.19,1.02
53,52.07,40.08,10.36,1.17,4.24,49.68,2.39,1.19,1.02
58,56.06,44.07,10.36,1.17,4.24,53.67,2.39,1.19,1.02
60,59.06,47.07,10.36,1.17,4.24,56.67,2.39,1.19,1.02
63,62.08,50.09,10.36,1.17,4.24,59.69,2.39,1.19,1.02
66,65.07,53.09,10.36,1.17,4.24,62.69,2.39,1.19,1.02
70,69.06,57.07,10.36,1.17,4.24,66.68,2.39,1.19,1.02
75,73.56,61.57,10.36,1.17,4.24,71.17,2.39,1.19,1.02
77,76.66,64.67,12.37,1.52,4.24,74.27,2.39,1.19,1.02
83,82.58,69.93,12.37,1.52,5.08,79.53,3.05,1.52,1.30
89,88.75,74.12,13.59,1.52,5.08,85.7,3.05,1.52,1.30
100,99.57,84.94,15.16,1.52,5.08,96.52,3.05,1.52,1.30
110,109.58,94.92,15.16,1.52,5.08,106.53,3.05,1.52,1.30
120,119.56,104.93,17.40,1.52,5.08,116.51,3.05,1.52,1.30
